Reviewer Name,Review Date,Review Content
Chenta C.,26 Dec 2024,ada kerosakan pd brg
Nor A.,08 Jun 2021,"worth the money 游녨游녨游녨游녨游녨游녨游녨游녨游녨游녨游녨游녨 i like it, goood"
1***4,14 Apr 2023,Good seller. Everything ok and easy installation.
Sehunnie,31 Oct 2022,Very gooddd
Agnes L.,02 Jul 2021,"The table top was slightly damaged as in the pictures. Also the table is a little wobbly, so don't put anything fragile on it. Super easy assembly."
0***7,28 Sep 2021,ok.i love u..t.kasih..puning sikit nak pasang.apa2 pun t.kasih seller.terbaiiik游때游때游때游때游때游때游때游때
nabilah N.,17 Aug 2021,"Kaki dia goyang2,ada satu kaki skru x leh masuk"
hanimhanan,09 Oct 2022,pehantaran cepat 
chong K.,08 Mar 2023,good product with fair price...fast delivery also
KRull,01 Oct 2022,perfect item rcv...worth the price
Rita K.,28 Oct 2021,Nice
Collin L.,20 Aug 2021,"Great value for the price you pay, decent quality and easy to assemble."
Shaiful N.,15 Jul 2021,"Reliable seller, fast delivery and  for the price kira OK la, goyang skit meja nie"
dzulkefli O.,13 Aug 2021,游녨游녨游녨游녨
NORIZAN M.,26 Feb 2023,kerusi dan meja cantik..cuma tersilap beli..patut beli besar sket..tp oklah... boleh letak brg jgk
A***.,13 Feb 2022,"quality not good...table shaky eventho  fxed well...needs bracing 
.
not happy bcos it will collapse or break any time .tabletop very thin ..pl dont buy this guys ...i regret for buying 2 pcs..."
S***a,04 Dec 2022,Worth buying. Quality is good
areel S.,05 Aug 2021,"please perform qc check before ship out.
please improve on the wrapping.
postage is fast."
jayasheila,23 Jul 2021,good
0***9,03 Jun 2021,the chair seat is badly scratched. not sure whether happened during packaging or delivery. I am so upset. 
Norasyura,24 Jun 2021,
m***.,29 Dec 2021,kualiti boleh2 saja...kaki meja bukan solid wood..cuma di balut plastik warna mcm kayu...
C***.,13 Sep 2021,Fast delivery. But bad quality-Wobbly legs & chipped at the side of the table.
